tensor(0.9254, device='cuda:0')
tensor(0.8296, device='cuda:0')
tensor(0.9383, device='cuda:0')
tensor(0.7633, device='cuda:0')
tensor(0.8396, device='cuda:0')
tensor(0.8803, device='cuda:0')
tensor(0.9003, device='cuda:0')
tensor(0.8956, device='cuda:0')
tensor(0.9295, device='cuda:0')
tensor(0.8539, device='cuda:0')
tensor(0.9249, device='cuda:0')
tensor(0.8776, device='cuda:0')
tensor(0.8697, device='cuda:0')
tensor(0.9190, device='cuda:0')
tensor(0.8353, device='cuda:0')
tensor(0.9646, device='cuda:0')
tensor(0.8603, device='cuda:0')
tensor(0.8333, device='cuda:0')
tensor(0.9056, device='cuda:0')
tensor(0.8945, device='cuda:0')
tensor(0.9063, device='cuda:0')
tensor(0.8840, device='cuda:0')
tensor(0.8734, device='cuda:0')
tensor(0.8457, device='cuda:0')
tensor(0.9192, device='cuda:0')
tensor(0.9085, device='cuda:0')
tensor(0.9174, device='cuda:0')
tensor(0.9006, device='cuda:0')
tensor(0.8887, device='cuda:0')
tensor(0.8839, device='cuda:0')
tensor(0.9088, device='cuda:0')
tensor(0.9288, device='cuda:0')
tensor(0.8104, device='cuda:0')
tensor(0.8826, device='cuda:0')
tensor(0.9512, device='cuda:0')
tensor(0.9331, device='cuda:0')
tensor(0.8243, device='cuda:0')
tensor(0.9118, device='cuda:0')
tensor(0.9157, device='cuda:0')
tensor(0.8864, device='cuda:0')
tensor(0.8797, device='cuda:0')
tensor(0.9256, device='cuda:0')
tensor(0.8961, device='cuda:0')
tensor(0.8969, device='cuda:0')
tensor(0.8543, device='cuda:0')
tensor(0.8974, device='cuda:0')
tensor(0.9494, device='cuda:0')
tensor(0.8980, device='cuda:0')
tensor(0.9346, device='cuda:0')
tensor(0.8990, device='cuda:0')
tensor(0.9355, device='cuda:0')
tensor(0.8987, device='cuda:0')
tensor(0.8436, device='cuda:0')
tensor(0.8307, device='cuda:0')
tensor(0.8827, device='cuda:0')
tensor(0.9142, device='cuda:0')
tensor(0.9984, device='cuda:0')
tensor(0.9661, device='cuda:0')
tensor(0.8061, device='cuda:0')
tensor(0.9101, device='cuda:0')
tensor(0.8413, device='cuda:0')
tensor(0.8843, device='cuda:0')
tensor(0.9774, device='cuda:0')
tensor(0.9106, device='cuda:0')
tensor(0.8792, device='cuda:0')
tensor(0.8672, device='cuda:0')
tensor(0.9436, device='cuda:0')
tensor(0.9304, device='cuda:0')
tensor(0.8949, device='cuda:0')
tensor(0.9167, device='cuda:0')
tensor(0.9115, device='cuda:0')
tensor(0.8657, device='cuda:0')
tensor(0.8996, device='cuda:0')
tensor(0.8641, device='cuda:0')
tensor(0.9077, device='cuda:0')
tensor(0.9031, device='cuda:0')
tensor(0.9191, device='cuda:0')
tensor(0.9131, device='cuda:0')
tensor(0.9323, device='cuda:0')
tensor(0.8109, device='cuda:0')
tensor(1.0018, device='cuda:0')
tensor(0.8536, device='cuda:0')
tensor(0.8845, device='cuda:0')
tensor(0.8862, device='cuda:0')
tensor(0.9331, device='cuda:0')
tensor(0.8487, device='cuda:0')
tensor(0.9497, device='cuda:0')
tensor(0.9957, device='cuda:0')
tensor(0.9412, device='cuda:0')
tensor(0.9092, device='cuda:0')
tensor(0.9324, device='cuda:0')
tensor(0.9159, device='cuda:0')
tensor(1.0001, device='cuda:0')
tensor(0.8621, device='cuda:0')
tensor(0.8772, device='cuda:0')
tensor(0.8501, device='cuda:0')
tensor(0.9423, device='cuda:0')
tensor(0.8612, device='cuda:0')
tensor(0.9193, device='cuda:0')
tensor(0.9935, device='cuda:0')
tensor(0.7811, device='cuda:0')
tensor(0.9930, device='cuda:0')
tensor(0.9519, device='cuda:0')
tensor(0.8888, device='cuda:0')
tensor(0.9273, device='cuda:0')
tensor(0.9500, device='cuda:0')
tensor(0.9364, device='cuda:0')
tensor(0.9013, device='cuda:0')
tensor(0.9123, device='cuda:0')
tensor(0.9265, device='cuda:0')
tensor(0.9290, device='cuda:0')
tensor(0.7911, device='cuda:0')
tensor(0.9201, device='cuda:0')
tensor(0.8462, device='cuda:0')
tensor(0.8376, device='cuda:0')
tensor(0.8723, device='cuda:0')
tensor(0.9452, device='cuda:0')
tensor(0.9115, device='cuda:0')
tensor(0.9305, device='cuda:0')
tensor(0.8565, device='cuda:0')
tensor(0.9887, device='cuda:0')
tensor(0.8872, device='cuda:0')
tensor(0.9323, device='cuda:0')
tensor(1.0247, device='cuda:0')
tensor(0.9117, device='cuda:0')
tensor(0.8471, device='cuda:0')
tensor(0.9962, device='cuda:0')
tensor(0.9108, device='cuda:0')
tensor(0.8925, device='cuda:0')
tensor(0.9310, device='cuda:0')
tensor(0.9908, device='cuda:0')
tensor(0.9599, device='cuda:0')
tensor(0.8303, device='cuda:0')
tensor(0.9053, device='cuda:0')
tensor(0.9158, device='cuda:0')
tensor(0.9583, device='cuda:0')
tensor(0.8261, device='cuda:0')
tensor(0.9306, device='cuda:0')
tensor(0.8527, device='cuda:0')
tensor(0.9774, device='cuda:0')
tensor(0.8719, device='cuda:0')
tensor(0.9533, device='cuda:0')
tensor(0.8912, device='cuda:0')
tensor(0.9578, device='cuda:0')
tensor(0.9307, device='cuda:0')
tensor(0.9204, device='cuda:0')
tensor(0.9348, device='cuda:0')
tensor(0.9420, device='cuda:0')
tensor(0.9601, device='cuda:0')
tensor(0.8441, device='cuda:0')
tensor(0.9915, device='cuda:0')
tensor(0.9416, device='cuda:0')
tensor(0.9155, device='cuda:0')
tensor(0.9154, device='cuda:0')
tensor(0.8886, device='cuda:0')
tensor(0.8888, device='cuda:0')
tensor(0.9899, device='cuda:0')
tensor(0.9247, device='cuda:0')
tensor(0.8603, device='cuda:0')
tensor(0.9777, device='cuda:0')
tensor(0.9567, device='cuda:0')
tensor(0.8666, device='cuda:0')
tensor(0.9823, device='cuda:0')
tensor(0.9042, device='cuda:0')
