tensor(3300.6958, device='cuda:0')
tensor(3274.4402, device='cuda:0')
tensor(3285.8066, device='cuda:0')
tensor(3298.5574, device='cuda:0')
tensor(3297.9001, device='cuda:0')
tensor(3300.0293, device='cuda:0')
tensor(3308.2192, device='cuda:0')
tensor(3297.5740, device='cuda:0')
tensor(3307.4841, device='cuda:0')
tensor(3265.9434, device='cuda:0')
tensor(3312.6755, device='cuda:0')
tensor(3270.1240, device='cuda:0')
tensor(3317.4446, device='cuda:0')
tensor(3297.7559, device='cuda:0')
tensor(3298.7087, device='cuda:0')
tensor(3279.6245, device='cuda:0')
tensor(3290.8323, device='cuda:0')
tensor(3305.0039, device='cuda:0')
tensor(3256.1326, device='cuda:0')
tensor(3290.8455, device='cuda:0')
tensor(3287.0574, device='cuda:0')
tensor(3300.9099, device='cuda:0')
tensor(3310.7659, device='cuda:0')
tensor(3280.8818, device='cuda:0')
tensor(3305.1296, device='cuda:0')
tensor(3301.4177, device='cuda:0')
tensor(3293.3027, device='cuda:0')
tensor(3307.3591, device='cuda:0')
tensor(3271.6562, device='cuda:0')
tensor(3290.1389, device='cuda:0')
tensor(3291.4377, device='cuda:0')
tensor(3282.5830, device='cuda:0')
tensor(3296.5164, device='cuda:0')
tensor(3293.8472, device='cuda:0')
tensor(3280.3604, device='cuda:0')
tensor(3278.1179, device='cuda:0')
tensor(3290.3838, device='cuda:0')
tensor(3283.6145, device='cuda:0')
tensor(3289.8135, device='cuda:0')
tensor(3299.9824, device='cuda:0')
tensor(3291.8379, device='cuda:0')
tensor(3315.7737, device='cuda:0')
tensor(3284.2896, device='cuda:0')
tensor(3276.7935, device='cuda:0')
tensor(3295.4617, device='cuda:0')
tensor(3293.5803, device='cuda:0')
tensor(3286.5500, device='cuda:0')
tensor(3279.2498, device='cuda:0')
tensor(3296.6536, device='cuda:0')
tensor(3293.7681, device='cuda:0')
tensor(3262.5696, device='cuda:0')
tensor(3290.6643, device='cuda:0')
tensor(3268.1587, device='cuda:0')
tensor(3304.8806, device='cuda:0')
tensor(3274.4243, device='cuda:0')
tensor(3282.5601, device='cuda:0')
tensor(3291.7354, device='cuda:0')
tensor(3303.2812, device='cuda:0')
tensor(3266.3870, device='cuda:0')
tensor(3279.7231, device='cuda:0')
tensor(3300.8352, device='cuda:0')
tensor(3311.7251, device='cuda:0')
tensor(3298.3303, device='cuda:0')
tensor(3314.5071, device='cuda:0')
tensor(3294.9856, device='cuda:0')
tensor(3295.2878, device='cuda:0')
tensor(3284.5745, device='cuda:0')
tensor(3280.6826, device='cuda:0')
tensor(3296.3086, device='cuda:0')
tensor(3294.1121, device='cuda:0')
tensor(3283.8608, device='cuda:0')
tensor(3288.7354, device='cuda:0')
tensor(3288.8640, device='cuda:0')
tensor(3285.5559, device='cuda:0')
tensor(3287.1021, device='cuda:0')
tensor(3280.1125, device='cuda:0')
tensor(3266.9629, device='cuda:0')
tensor(3276.5420, device='cuda:0')
tensor(3280.8892, device='cuda:0')
tensor(3304.3315, device='cuda:0')
tensor(3312.6914, device='cuda:0')
tensor(3283.4836, device='cuda:0')
tensor(3310.1487, device='cuda:0')
tensor(3277.8669, device='cuda:0')
tensor(3289.3533, device='cuda:0')
tensor(3271.4851, device='cuda:0')
tensor(3280.9585, device='cuda:0')
tensor(3283.0750, device='cuda:0')
tensor(3262.4021, device='cuda:0')
tensor(3299.7466, device='cuda:0')
tensor(3279.2214, device='cuda:0')
tensor(3261.4751, device='cuda:0')
tensor(3289.2568, device='cuda:0')
tensor(3308.6633, device='cuda:0')
tensor(3287.3958, device='cuda:0')
tensor(3273.0811, device='cuda:0')
tensor(3278.3560, device='cuda:0')
tensor(3262.6892, device='cuda:0')
tensor(3269.7976, device='cuda:0')
tensor(3285.0857, device='cuda:0')
tensor(3258.8113, device='cuda:0')
tensor(3292.0352, device='cuda:0')
tensor(3287.1506, device='cuda:0')
tensor(3292.7673, device='cuda:0')
tensor(3286.7227, device='cuda:0')
tensor(3283.6218, device='cuda:0')
tensor(3261.5945, device='cuda:0')
tensor(3262.8362, device='cuda:0')
tensor(3300.8499, device='cuda:0')
tensor(3264.6814, device='cuda:0')
tensor(3293.7737, device='cuda:0')
tensor(3267.0728, device='cuda:0')
tensor(3295.4172, device='cuda:0')
tensor(3293.3022, device='cuda:0')
tensor(3273.3840, device='cuda:0')
tensor(3273.6765, device='cuda:0')
tensor(3305.4280, device='cuda:0')
tensor(3275.2271, device='cuda:0')
tensor(3264.8706, device='cuda:0')
tensor(3315.9209, device='cuda:0')
tensor(3272.8440, device='cuda:0')
tensor(3297.5552, device='cuda:0')
tensor(3278.9802, device='cuda:0')
tensor(3284.0142, device='cuda:0')
tensor(3265.0295, device='cuda:0')
tensor(3289.5698, device='cuda:0')
tensor(3275.8459, device='cuda:0')
tensor(3295.2520, device='cuda:0')
tensor(3278.8455, device='cuda:0')
tensor(3256.2805, device='cuda:0')
tensor(3290.0701, device='cuda:0')
tensor(3291.0901, device='cuda:0')
tensor(3277.4673, device='cuda:0')
tensor(3279.6309, device='cuda:0')
tensor(3273.2795, device='cuda:0')
tensor(3299.3318, device='cuda:0')
tensor(3282.2190, device='cuda:0')
tensor(3277.4031, device='cuda:0')
tensor(3293.8621, device='cuda:0')
tensor(3278.2507, device='cuda:0')
tensor(3297.2332, device='cuda:0')
tensor(3261.8833, device='cuda:0')
tensor(3275.9565, device='cuda:0')
tensor(3303.3589, device='cuda:0')
tensor(3284.0342, device='cuda:0')
tensor(3290.1348, device='cuda:0')
tensor(3266.8164, device='cuda:0')
tensor(3274.5750, device='cuda:0')
tensor(3264.8105, device='cuda:0')
tensor(3249.2441, device='cuda:0')
tensor(3279.7351, device='cuda:0')
tensor(3287.8970, device='cuda:0')
tensor(3282.1912, device='cuda:0')
tensor(3281.3613, device='cuda:0')
tensor(3263.7673, device='cuda:0')
tensor(3261.8083, device='cuda:0')
tensor(3285.4275, device='cuda:0')
tensor(3302.9688, device='cuda:0')
tensor(3270.0168, device='cuda:0')
tensor(3270.8811, device='cuda:0')
tensor(3334.0964, device='cuda:0')
tensor(3272.5273, device='cuda:0')
tensor(3294.1589, device='cuda:0')
tensor(3266.0708, device='cuda:0')
tensor(3283.6470, device='cuda:0')
tensor(3262.1292, device='cuda:0')
tensor(3271.3254, device='cuda:0')
tensor(3284.8484, device='cuda:0')
tensor(3291.7666, device='cuda:0')
tensor(3251.9561, device='cuda:0')
tensor(3262.0828, device='cuda:0')
tensor(3255.8789, device='cuda:0')
tensor(3309.3735, device='cuda:0')
tensor(3260.9165, device='cuda:0')
tensor(3276.1292, device='cuda:0')
tensor(3264.6157, device='cuda:0')
tensor(3280.1384, device='cuda:0')
tensor(3281.9204, device='cuda:0')
